Word	Frequency
the	52586
you	30310
i	23060
of	21169
a	21053
love	19111
me	18599
to	18229
in	16940
my	15067
it	10932
on	10309
and	9390
is	8722
for	7616
be	7106
your	6833
don't	6716
all	6245
time	4430
no	4346
i'm	4334
song	4275
that	4266
what	4265
one	4243
little	4031
heart	3894
do	3848
with	3746
night	3688
go	3602
day	3587
like	3564
come	3560
when	3529
[dvd]	3501
up	3501
get	3498
down	3425
this	3416
man	3367
got	3317
out	3293
life	3280
know	3263
if	3189
it's	3184
[live]	3095
let	3077
just	3061
over	3032
can't	2986
world	2955
we	2933
way	2929
good	2919
version]	2811
so	2773
back	2738
how	2711
girl	2701
from	2682
are	2635
blues	2632
never	2611
have	2606
home	2488
baby	2484
blue	2387
away	2376
i'll	2371
ain't	2309
only	2251
again	2250
not	2223
here	2212
long	2180
want	2172
eyes	2133
christmas	2099
old	2075
take	2002
at	1996
too	1995
can	1994
you're	1980
dream	1946
[*]	1929
more	1916
will	1915
la	1898
now	1887
moon	1864
de	1859
new	1832
by	1813
boy	1800
sweet	1692
there	1686
say	1683
as	1681
last	1673
where	1658
town	1637
make	1577
&	1577
gone	1512
or	1466
still	1458
black	1449
thing	1435
see	1413
but	1405
lady	1389
she	1381
mind	1381
right	1370
rain	1369
about	1366
sun	1315
beautiful	1283
street	1268
give	1266
i've	1259
rock	1248
things	1246
soul	1228
was	1212
someone	1208
around	1207
woman	1180
bad	1179
heaven	1172
gonna	1169
[from	1132
fall	1116
high	1114
stay	1105
believe	1103
why	1098
could	1094
morning	1093
her	1093
deep	1090
el	1090
fire	1080
am	1078
feel	1059
star	1058
road	1053
happy	1045
goodbye	1044
nothing	1036
tonight	1034
something	1031
been	1019
bye	1018
need	1013
remember	1008
mix]	998
live	997
look	993
tell	981
were	971
wanna	971
had	970
after	960
big	957
who	951
easy	949
that's	948
everything	943
	941
god	939
cry	938
than	937
light	937
days	933
[#]	932
going	928
dance	913
kiss	913
hold	911
head	911
yourself	904
always	893
keep	890
side	889
walk	881
without	871
alone	870
another	868
wish	865
better	863
through	863
mood	860
dreams	859
young	857
city	848
coming	848
white	835
leave	827
you've	826
hey	824
our	819
angel	815
let's	810
stop	803
some	800
call	798
people	792
end	785
under	785
rainbow	782
hard	780
low	775
dead	772
body	771
these	765
an	759
o	755
crazy	752
lonely	751
mine	750
together	748
que	748
off	741
has	732
lost	728
river	727
smile	726
forever	725
run	724
st.	716
red	713
talk	709
us	707
two	699
miss	697
foolish	695
sky	689
